index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-89f7146e-9864-a874-a024-4b4c620d8f98,460.32.03,Tesla V100-SXM2-32GB,1565019013376,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,32510,20580,11930,2023/07/01 09:38:11.618
0,0,32510,20580,11930,2023/07/01 09:38:41.687
0,64,32510,20580,11930,2023/07/01 09:39:11.755
0,0,32510,20580,11930,2023/07/01 09:39:41.813
0,0,32510,20580,11930,2023/07/01 09:40:11.875
0,99,32510,20580,11930,2023/07/01 09:40:41.957
0,0,32510,20580,11930,2023/07/01 09:41:12.011
0,38,32510,20580,11930,2023/07/01 09:41:42.062
0,0,32510,20580,11930,2023/07/01 09:42:12.101
0,0,32510,20580,11930,2023/07/01 09:42:42.161
0,0,32510,20580,11930,2023/07/01 09:43:12.239
0,0,32510,20580,11930,2023/07/01 09:43:42.282
0,0,32510,20580,11930,2023/07/01 09:44:12.344
0,52,32510,20580,11930,2023/07/01 09:44:42.404
0,75,32510,20580,11930,2023/07/01 09:45:12.465
0,0,32510,20580,11930,2023/07/01 09:45:42.561
0,0,32510,20580,11930,2023/07/01 09:46:12.613
0,0,32510,20580,11930,2023/07/01 09:46:42.673
0,0,32510,20580,11930,2023/07/01 09:47:12.746
0,0,32510,20580,11930,2023/07/01 09:47:42.802
0,0,32510,20580,11930,2023/07/01 09:48:12.840
0,0,32510,20580,11930,2023/07/01 09:48:42.901
0,80,32510,20580,11930,2023/07/01 09:49:12.962
0,0,32510,20580,11930,2023/07/01 09:49:43.021
0,65,32510,20580,11930,2023/07/01 09:50:13.078
0,65,32510,20580,11930,2023/07/01 09:50:43.161
0,83,32510,20580,11930,2023/07/01 09:51:13.238
0,0,32510,20580,11930,2023/07/01 09:51:43.300
0,0,32510,20580,11930,2023/07/01 09:52:13.363
0,21,32510,20580,11930,2023/07/01 09:52:43.450
0,0,32510,20580,11930,2023/07/01 09:53:13.555
0,0,32510,20580,11930,2023/07/01 09:53:43.639
0,12,32510,20580,11930,2023/07/01 09:54:13.677
0,0,32510,20580,11930,2023/07/01 09:54:43.738
0,100,32510,20580,11930,2023/07/01 09:55:13.800
0,23,32510,20580,11930,2023/07/01 09:55:43.890
0,0,32510,20580,11930,2023/07/01 09:56:13.940
0,2,32510,20580,11930,2023/07/01 09:56:44.002
0,0,32510,20580,11930,2023/07/01 09:57:14.069
0,69,32510,20580,11930,2023/07/01 09:57:44.151
0,0,32510,20580,11930,2023/07/01 09:58:14.199
0,84,32510,20580,11930,2023/07/01 09:58:44.258
0,44,32510,20580,11930,2023/07/01 09:59:14.355
0,0,32510,20580,11930,2023/07/01 09:59:44.417
0,67,32510,20580,11930,2023/07/01 10:00:14.483
0,32,32510,20580,11930,2023/07/01 10:00:44.559
0,53,32510,20580,11930,2023/07/01 10:01:14.592
0,68,32510,20580,11930,2023/07/01 10:01:44.663
0,26,32510,20580,11930,2023/07/01 10:02:14.741
0,0,32510,20580,11930,2023/07/01 10:02:44.800
0,0,32510,20580,11930,2023/07/01 10:03:14.862
0,55,32510,20580,11930,2023/07/01 10:03:44.913
0,6,32510,20580,11930,2023/07/01 10:04:14.973
0,0,32510,20580,11930,2023/07/01 10:04:45.006
0,88,32510,20580,11930,2023/07/01 10:05:15.072
0,0,32510,20580,11930,2023/07/01 10:05:45.163
0,0,32510,20580,11930,2023/07/01 10:06:15.240
0,53,32510,20580,11930,2023/07/01 10:06:45.354
